key,label,family,access,eligible,mode,delta,k,n,acc,lo,hi
qwen25vl_7b,Qwen2.5-VL-7B,qwen,local,1,c4_valley,90,1,4,0.2500,0.0456,0.6994
qwen25vl_7b,Qwen2.5-VL-7B,qwen,local,1,c4_valley,135,0,4,0.0000,0.0000,0.4899
qwen25vl_7b,Qwen2.5-VL-7B,qwen,local,1,c4_valley,180,4,4,1.0000,0.5101,1.0000
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c0_shape_colour,0,3,4,0.7500,0.3006,0.9544
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c0_shape_colour,45,2,4,0.5000,0.1500,0.8500
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c0_shape_colour,90,0,4,0.0000,0.0000,0.4899
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c0_shape_colour,135,0,4,0.0000,0.0000,0.4899
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c0_shape_colour,180,0,4,0.0000,0.0000,0.4899
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c1_shape,0,3,4,0.7500,0.3006,0.9544
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c1_shape,45,0,4,0.0000,0.0000,0.4899
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c1_shape,90,0,4,0.0000,0.0000,0.4899
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c1_shape,135,0,4,0.0000,0.0000,0.4899
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c1_shape,180,0,4,0.0000,0.0000,0.4899
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c2_colour,0,4,4,1.0000,0.5101,1.0000
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c2_colour,45,3,4,0.7500,0.3006,0.9544
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c2_colour,90,1,4,0.2500,0.0456,0.6994
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c2_colour,135,0,4,0.0000,0.0000,0.4899
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c2_colour,180,1,4,0.2500,0.0456,0.6994
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c3_peaks_bare,0,2,4,0.5000,0.1500,0.8500
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c3_peaks_bare,45,0,4,0.0000,0.0000,0.4899
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c3_peaks_bare,90,0,4,0.0000,0.0000,0.4899
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c3_peaks_bare,135,0,4,0.0000,0.0000,0.4899
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c3_peaks_bare,180,1,4,0.2500,0.0456,0.6994
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c4_valley,0,3,4,0.7500,0.3006,0.9544
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c4_valley,45,1,4,0.2500,0.0456,0.6994
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c4_valley,90,2,4,0.5000,0.1500,0.8500
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c4_valley,135,0,4,0.0000,0.0000,0.4899
qwen25vl_32b,Qwen2.5-VL-32B,qwen,local,1,c4_valley,180,3,4,0.7500,0.3006,0.9544
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c0_shape_colour,0,2,4,0.5000,0.1500,0.8500
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c0_shape_colour,45,2,4,0.5000,0.1500,0.8500
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c0_shape_colour,90,0,4,0.0000,0.0000,0.4899
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c0_shape_colour,135,0,4,0.0000,0.0000,0.4899
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c0_shape_colour,180,1,4,0.2500,0.0456,0.6994
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c1_shape,0,4,4,1.0000,0.5101,1.0000
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c1_shape,45,1,4,0.2500,0.0456,0.6994
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c1_shape,90,0,4,0.0000,0.0000,0.4899
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c1_shape,135,1,4,0.2500,0.0456,0.6994
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c1_shape,180,0,4,0.0000,0.0000,0.4899
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c2_colour,0,3,4,0.7500,0.3006,0.9544
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c2_colour,45,2,4,0.5000,0.1500,0.8500
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c2_colour,90,0,4,0.0000,0.0000,0.4899
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c2_colour,135,0,4,0.0000,0.0000,0.4899
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c2_colour,180,0,4,0.0000,0.0000,0.4899
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c3_peaks_bare,0,4,4,1.0000,0.5101,1.0000
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c3_peaks_bare,45,2,4,0.5000,0.1500,0.8500
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c3_peaks_bare,90,2,4,0.5000,0.1500,0.8500
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c3_peaks_bare,135,0,4,0.0000,0.0000,0.4899
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c3_peaks_bare,180,1,4,0.2500,0.0456,0.6994
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c4_valley,0,2,4,0.5000,0.1500,0.8500
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c4_valley,45,1,4,0.2500,0.0456,0.6994
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c4_valley,90,1,4,0.2500,0.0456,0.6994
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c4_valley,135,1,4,0.2500,0.0456,0.6994
qwen25vl_72b,Qwen2.5-VL-72B,qwen,local,1,c4_valley,180,1,4,0.2500,0.0456,0.6994
internvl3_38b,InternVL3-38B,internvl,local,1,c0_shape_colour,0,2,4,0.5000,0.1500,0.8500
internvl3_38b,InternVL3-38B,internvl,local,1,c0_shape_colour,45,2,4,0.5000,0.1500,0.8500
internvl3_38b,InternVL3-38B,internvl,local,1,c0_shape_colour,90,0,4,0.0000,0.0000,0.4899
internvl3_38b,InternVL3-38B,internvl,local,1,c0_shape_colour,135,0,4,0.0000,0.0000,0.4899
internvl3_38b,InternVL3-38B,internvl,local,1,c0_shape_colour,180,2,4,0.5000,0.1500,0.8500
